YEAR,CAR NAME,MODEL,ENGINE SIZE,CYLINDERS,FUEL TYPE,FUEL CONSUMPTION,CO2 EMISSIONS 
2000,ACURA,1.6EL,1.6,4,X,9.2,186
2000,ACURA,1.6EL,1.6,4,X,8.5,175
2000,ACURA,3.2TL,3.2,6,Z,12.2,230
2000,ACURA,3.5RL,3.5,6,Z,13.4,264
2000,ACURA,INTEGRA,1.8,4,X,10,198
2000,ACURA,INTEGRA,1.8,4,X,9.3,189
2000,ACURA,INTEGRA GSR/TYPE R,1.8,4,Z,9.4,191
2000,ACURA,NSX,3,6,Z,13.6,267
2000,ACURA,NSX,3.2,6,Z,13.8,269
2000,AUDI,A4,1.8,4,Z,11.4,218
2000,AUDI,A4,1.8,4,Z,9.7,193
2000,AUDI,A4,2.8,6,Z,13,248
2000,AUDI,A4,2.8,6,Z,11.7,225
2000,AUDI,A4 QUATTRO,1.8,4,Z,12.1,232
2000,AUDI,A4 QUATTRO,1.8,4,Z,10.7,214
2000,AUDI,A4 QUATTRO,2.8,6,Z,13.3,255
2000,AUDI,A4 QUATTRO,2.8,6,Z,12.7,251
2000,AUDI,A6,2.8,6,Z,13.4,258
2000,AUDI,A6 AVANT QUATTRO,2.8,6,Z,13.8,269
2000,AUDI,A6 QUATTRO,2.7,6,Z,13.6,264
2000,AUDI,A6 QUATTRO,2.7,6,Z,13.6,267
2000,AUDI,A6 QUATTRO,2.8,6,Z,13.8,269
2000,AUDI,A6 QUATTRO,2.8,6,Z,13,260
2000,AUDI,A6 QUATTRO,4.2,8,Z,13.9,269
2000,AUDI,A8 QUATTRO,4.2,8,Z,13.9,269
2000,AUDI,S4 QUATTRO,2.7,6,Z,13.6,264
2000,AUDI,S4 QUATTRO,2.7,6,Z,13.6,267
2000,AUDI,TT COUPE QUATTRO,1.8,4,Z,11.6,225
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),1.8,4,Z,11.6,225
2000,AUDI,TT ROADSTER,1.8,4,Z,10.9,214
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),1.8,4,Z,11.6,225
2000,BMW,323 CONVERTIBLE,2.5,6,Z,13,258
2000,BMW,323 CONVERTIBLE,2.5,6,Z,12.4,246
2000,BMW,323Ci,2.5,6,Z,12.3,237
2000,BMW,323Ci,2.5,6,Z,11.5,223
2000,BMW,323i,2.5,6,Z,12.3,237
2000,BMW,323i,2.5,6,Z,11.5,223
2000,BMW,328Ci,2.8,6,Z,12.4,239
2000,BMW,328Ci,2.8,6,Z,11.5,223
2000,BMW,328i,2.8,6,Z,12.4,239
2000,BMW,328i,2.8,6,Z,11.5,223
2000,BMW,528i,2.8,6,Z,13,251
2000,BMW,528i,2.8,6,Z,11.5,223
2000,BMW,528i TOURING,2.8,6,Z,13,251
2000,BMW,528i TOURING,2.8,6,Z,12.9,248
2000,BMW,540i,4.4,8,Z,13.1,258
2000,BMW,540i,4.4,8,Z,14.7,281
2000,BMW,540i TOURING,4.4,8,Z,13.9,281
2000,BMW,740i,4.4,8,Z,13.8,269
2000,BMW,740iL,4.4,8,Z,13.8,269
2000,BMW,750iL,5.4,12,Z,17.3,331
2000,BMW,M COUPE,3.2,6,Z,12.4,244
2000,BMW,M ROADSTER,3.2,6,Z,12.4,244
2000,BMW,M5,4.9,8,Z,17.7,331
2000,BMW,X5,4.4,8,Z,13.3,258
2000,BMW,Z3,2.5,6,Z,12.5,244
2000,BMW,Z3,2.5,6,Z,11.9,232
2000,BMW,Z3,2.8,6,Z,12.4,244
2000,BMW,Z3,2.8,6,Z,12.4,244
2000,BMW,Z8,4.9,8,Z,17.4,336
2000,BUICK,CENTURY,3.1,6,X,11.6,223
2000,BUICK,LESABRE,3.8,6,X,12.3,230
2000,BUICK,PARK AVENUE,3.8,6,X,12.8,242
2000,BUICK,PARK AVENUE #,3.8,6,Z,13.5,253
2000,BUICK,REGAL,3.8,6,X,12,228
2000,BUICK,REGAL #,3.8,6,Z,13.5,253
2000,CADILLAC,CATERA,3,6,Z,13.1,258
2000,CADILLAC,DEVILLE,4.6,8,Z,13.9,260
2000,CADILLAC,ELDORADO,4.6,8,Z,13.9,260
2000,CADILLAC,ESCALADE 4X4,5.7,8,X,19.2,382
2000,CADILLAC,SEVILLE,4.6,8,Z,13.9,260
2000,CHEVROLET,ASTRO AWD CARGO,4.3,6,X,15.3,308
2000,CHEVROLET,ASTRO AWD PASSENGER,4.3,6,X,15.7,317
2000,CHEVROLET,ASTRO CARGO,4.3,6,X,14.5,294
2000,CHEVROLET,ASTRO PASSENGER,4.3,6,X,15.9,324
2000,CHEVROLET,BLAZER,4.3,6,X,14.5,294
2000,CHEVROLET,BLAZER,4.3,6,X,14.6,288
2000,CHEVROLET,BLAZER 4X4,4.3,6,X,15.2,308
2000,CHEVROLET,BLAZER 4X4,4.3,6,X,16.9,343
2000,CHEVROLET,C1500 SILVERADO,4.3,6,X,15.9,324
2000,CHEVROLET,C1500 SILVERADO,4.3,6,X,16.7,338
2000,CHEVROLET,C1500 SILVERADO,4.8,8,X,14.6,292
2000,CHEVROLET,C1500 SILVERADO,4.8,8,X,17.1,331
2000,CHEVROLET,C1500 SILVERADO,5.3,8,X,15,301
2000,CHEVROLET,C2500 SILVERADO,5.3,8,X,16.1,329
2000,CHEVROLET,C2500 SILVERADO,6,8,X,19.4,386
2000,CHEVROLET,CAMARO,3.8,6,X,12.4,235
2000,CHEVROLET,CAMARO,3.8,6,X,12.2,228
2000,CHEVROLET,CAMARO,5.7,8,Z,13.8,269
2000,CHEVROLET,CAMARO,5.7,8,Z,13.1,248
2000,CHEVROLET,CAVALIER,2.2,4,X,10.2,200
2000,CHEVROLET,CAVALIER,2.2,4,X,10.8,205
2000,CHEVROLET,CAVALIER,2.4,4,X,11,216
2000,CHEVROLET,CAVALIER,2.4,4,X,10.7,202
2000,CHEVROLET,CAVALIER BIFUEL,2.2,4,X,10.4,209
2000,CHEVROLET,CORVETTE,5.7,8,Z,13.9,269
2000,CHEVROLET,CORVETTE,5.7,8,Z,12.8,244
2000,CHEVROLET,G15/G25 CHEVY VAN,4.3,6,X,16,327
2000,CHEVROLET,G15/G25 CHEVY VAN,5,8,X,16.4,329
2000,CHEVROLET,G15/G25 CHEVY VAN,5.7,8,X,17.4,352
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,4.3,6,X,16.5,336
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,5,8,X,16.7,338
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,5.7,8,X,18.7,377
2000,CHEVROLET,IMPALA,3.4,6,X,12.1,228
2000,CHEVROLET,IMPALA,3.8,6,X,12,228
2000,CHEVROLET,K1500 SILVERADO 4X4,4.3,6,X,15.3,308
2000,CHEVROLET,K1500 SILVERADO 4X4,4.3,6,X,16.9,343
2000,CHEVROLET,K1500 SILVERADO 4X4,4.8,8,X,15.6,322
2000,CHEVROLET,K1500 SILVERADO 4X4,4.8,8,X,18.2,359
2000,CHEVROLET,K1500 SILVERADO 4X4,5.3,8,X,16.2,331
2000,CHEVROLET,K1500 TAHOE 4X4,5.7,8,X,19.1,382
2000,CHEVROLET,LUMINA/MONTE CARLO,3.4,6,X,12.1,228
2000,CHEVROLET,LUMINA/MONTE CARLO,3.8,6,X,12,228
2000,CHEVROLET,MALIBU,3.1,6,X,11.6,223
2000,CHEVROLET,METRO,1,3,X,6,122
2000,CHEVROLET,METRO,1.3,4,X,7.8,163
2000,CHEVROLET,METRO,1.3,4,X,6.4,131
2000,CHEVROLET,NEW C1500 SUBURBAN,5.3,8,X,17.1,345
2000,CHEVROLET,NEW C1500 TAHOE,4.8,8,X,16.9,345
2000,CHEVROLET,NEW C1500 TAHOE,5.3,8,X,17.1,345
2000,CHEVROLET,NEW K1500 TAHOE 4X4,4.8,8,X,16.9,345
2000,CHEVROLET,NEW K1500 TAHOE 4X4,5.3,8,X,17.1,347
2000,CHEVROLET,S10,2.2,4,X,12.3,242
2000,CHEVROLET,S10,2.2,4,X,10.8,214
2000,CHEVROLET,S10,4.3,6,X,13.8,276
2000,CHEVROLET,S10,4.3,6,X,14.4,283
2000,CHEVROLET,S10 4X4,4.3,6,X,15.1,304
2000,CHEVROLET,S10 4X4,4.3,6,X,14.6,290
2000,CHEVROLET,TRACKER 4X4,2,4,X,10.3,216
2000,CHEVROLET,TRACKER 4X4,2,4,X,10.5,221
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,1.6,4,X,9.2,196
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,2,4,X,10.3,216
2000,CHEVROLET,TRACKER CONVERTIBLE 4X4,2,4,X,10.5,221
2000,CHEVROLET,VENTURE,3.4,6,X,12.5,246
2000,CHRYSLER,300M,3.5,6,X,12.8,246
2000,CHRYSLER,CIRRUS,2.4,4,X,11.9,232
2000,CHRYSLER,CIRRUS,2.5,6,X,12.1,235
2000,CHRYSLER,CONCORDE,2.7,6,X,11.7,225
2000,CHRYSLER,CONCORDE,3.2,6,X,12.6,242
2000,CHRYSLER,INTREPID,2.7,6,X,11.7,225
2000,CHRYSLER,INTREPID,2.7,6,X,11.7,225
2000,CHRYSLER,INTREPID,3.2,6,X,12.6,239
2000,CHRYSLER,INTREPID,3.5,6,X,12.8,246
2000,CHRYSLER,LHS,3.5,6,X,13.1,251
